SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1500.0,1.0,136.8,-57.6,3.6,6.0,37.6,1.0,9.6
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,642.0,1.0,93.0,-60.6,5.1,14.0,15.8,1.0,3.8
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.0,-63.6,6.85,24.0,28.0,1.0,7.0
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,179.2,-64.0,7.55,48.0,55.8,1.0,14.0
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,267.6,-62.8,6.9,79.0,94.6,1.0,24.6
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-63.6,6.45,157.0,189.8,1.0,49.8
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.0,1.0,3407.0,-64.6,9.05,1254.0,1515.2,1.0,399.2
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,14.0,1.0,1732.8,-64.0,10.95,627.0,757.8,1.0,199.8
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,37.0,1.0,724.2,-66.0,5.25,265.0,305.0,1.0,80.0
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,35.0,1.0,781.2,-66.0,4.9,281.0,330.0,1.0,87.0
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,33.0,1.0,839.0,-65.0,5.15,297.0,354.2,1.0,93.0
12,878,500.0,8.0,14,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.2,-66.6,4.35,314.0,379.0,1.0,36.0
12,878,500.0,8.0,15,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.0,-66.0,4.6,314.0,378.8,1.0,36.0
12,878,500.0,8.0,16,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.2,-65.0,5.2,314.0,378.6,1.0,36.0
12,878,500.0,8.0,17,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.0,-64.8,5.1,314.0,378.8,1.0,99.8
12,878,500.0,8.0,20,0.0,100.0,6.0,80.0,1.0,35.0,1.0,830.4,-65.0,5.05,281.0,346.0,1.0,91.0
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,830.4,-64.6,5.6,314.0,378.6,1.0,99.6
12,878,500.0,8.0,20,0.0,100.0,20.0,80.0,1.0,25.0,1.0,1060.2,-65.2,4.7,396.0,460.8,1.0,121.0
12,878,500.0,8.0,20,0.0,100.0,30.0,80.0,1.0,20.0,1.0,1224.0,-65.4,5.0,478.0,542.8,1.0,143.0
12,878,500.0,8.0,20,0.0,100.0,40.0,80.0,1.0,17.0,1.0,1387.8,-65.4,4.6,560.0,624.8,1.0,164.8
12,878,500.0,8.0,20,0.0,100.0,50.0,80.0,1.0,15.0,1.0,1551.4,-65.0,5.65,642.0,706.6,1.0,186.0
