SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1500.0,1.0,137.0,-87.2,3.35,6.0,38.0,1.0,10.0
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,642.0,1.0,93.4,-88.0,5.35,14.0,16.0,1.0,4.0
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.2,-88.8,6.55,24.0,28.0,1.0,7.0
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,179.6,-87.6,7.05,48.0,55.2,1.0,14.0
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,268.0,-87.0,7.05,79.0,95.0,1.0,25.0
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.2,-88.0,5.9,157.0,189.2,1.0,49.2
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.0,1.0,3407.8,-88.6,9.35,1254.0,1515.8,1.0,399.8
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,14.0,1.0,1732.8,-87.8,10.6,627.0,757.8,1.0,199.8
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,37.0,1.0,724.4,-88.2,5.95,265.0,305.0,1.0,80.0
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,35.0,1.0,781.2,-88.6,5.45,281.0,330.0,1.0,87.0
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,33.0,1.0,839.0,-88.4,5.0,297.0,354.2,1.0,93.0
12,878,500.0,8.0,14,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.4,-93.2,4.65,314.0,379.0,1.0,36.0
12,878,500.0,8.0,15,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.8,-93.2,4.95,314.0,379.0,1.0,36.0
12,878,500.0,8.0,16,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.4,-89.8,4.2,314.0,379.0,1.0,36.0
12,878,500.0,8.0,17,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.2,-88.6,4.6,314.0,378.8,1.0,99.8
12,878,500.0,8.0,20,0.0,100.0,6.0,80.0,1.0,35.0,1.0,830.6,-91.0,3.95,281.0,346.0,1.0,91.0
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,830.4,-87.8,5.8,314.0,378.8,1.0,99.8
12,878,500.0,8.0,20,0.0,100.0,20.0,80.0,1.0,25.0,1.0,1060.2,-91.0,3.95,396.0,460.8,1.0,121.0
12,878,500.0,8.0,20,0.0,100.0,30.0,80.0,1.0,20.0,1.0,1224.0,-92.0,3.95,478.0,542.4,1.0,143.0
12,878,500.0,8.0,20,0.0,100.0,40.0,80.0,1.0,17.0,1.0,1387.8,-90.6,4.2,560.0,624.8,1.0,164.8
12,878,500.0,8.0,20,0.0,100.0,50.0,80.0,1.0,15.0,1.0,1552.0,-90.0,4.65,642.0,706.4,1.0,186.0
