SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1500.0,1.0,137.0,-6.0,3.85,6.0,37.4,1.0,9.4
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,642.0,1.0,93.2,-10.0,5.55,14.0,16.0,1.0,4.0
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,375.0,1.0,119.0,-14.0,6.9,24.0,27.6,1.0,7.0
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,187.0,1.0,179.4,-14.2,7.95,48.0,55.8,1.0,14.0
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,113.0,1.0,267.6,-15.0,7.5,79.0,94.4,1.0,24.4
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,57.0,1.0,477.0,-18.2,7.25,157.0,189.8,1.0,49.8
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.0,1.0,3407.2,-16.6,9.95,1254.0,1515.6,1.0,399.6
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,14.0,1.0,1733.0,-18.2,12.55,627.0,757.8,1.0,199.8
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,37.0,1.0,724.4,-16.8,6.3,265.0,305.0,1.0,80.0
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,35.0,1.0,781.4,-18.0,6.25,281.0,329.6,1.0,86.6
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,33.0,1.0,838.8,-18.0,6.3,297.0,354.4,1.0,93.0
12,878,500.0,8.0,14,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.6,-21.0,5.05,314.0,378.8,1.0,36.0
12,878,500.0,8.0,15,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.0,-20.8,5.1,314.0,379.0,1.0,36.0
12,878,500.0,8.0,16,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.2,-19.2,6.05,314.0,378.8,1.0,36.0
12,878,500.0,8.0,17,0.0,100.0,10.0,80.0,1.0,31.0,1.0,896.2,-19.0,6.2,314.0,378.6,1.0,99.6
12,878,500.0,8.0,20,0.0,100.0,6.0,80.0,1.0,35.0,1.0,831.0,-19.6,6.05,281.0,346.0,1.0,91.0
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,28.0,1.0,830.6,-16.6,6.3,314.0,378.8,1.0,99.8
12,878,500.0,8.0,20,0.0,100.0,20.0,80.0,1.0,25.0,1.0,1060.0,-19.8,5.9,396.0,460.8,1.0,121.0
12,878,500.0,8.0,20,0.0,100.0,30.0,80.0,1.0,20.0,1.0,1223.8,-20.0,6.0,478.0,542.4,1.0,143.0
12,878,500.0,8.0,20,0.0,100.0,40.0,80.0,1.0,17.0,1.0,1387.8,-19.8,6.0,560.0,624.8,1.0,164.8
12,878,500.0,8.0,20,0.0,100.0,50.0,80.0,1.0,15.0,1.0,1551.4,-19.6,6.05,642.0,706.8,1.0,186.0
