SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1.0,124.0,-93.782,17.228,7.0,7.0,1.0,1.0
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1.0,138.0,-90.484,20.526,14.0,14.0,1.0,1.0
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1.0,158.0,-93.934,17.076,24.0,24.0,1.0,1.0
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1.0,206.0,-96.754,14.256,48.0,48.0,1.0,1.0
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1.0,300.0,-93.516,17.495,95.0,95.0,1.0,1.0
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1.0,424.0,-95.272,15.738,157.0,157.0,1.0,1.0
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.962,1.0,2622.0,-101.11,15.921,1256.0,1256.0,1.0,1.0
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,15.924,1.0,1366.0,-96.645,17.376,628.0,628.0,1.0,1.0
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,50.955,1.0,502.5,-99.79,11.221,196.25,196.25,1.0,1.0
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,42.463,1.0,581.0,-94.618,16.392,235.5,235.5,1.0,1.0
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,36.397,1.0,659.5,-98.978,12.032,274.75,274.75,1.0,1.0
12,878,500.0,8.0,14,0.0,100.0,10.0,80.0,1.0,31.847,1.0,738.0,-103.227,7.783,314.0,314.0,1.0,1.0
12,878,500.0,8.0,15,0.0,100.0,10.0,80.0,1.0,31.847,1.0,738.0,-104.286,6.725,314.0,314.0,1.0,1.0
12,878,500.0,8.0,16,0.0,100.0,10.0,80.0,1.0,31.847,1.0,738.0,-97.387,13.623,314.0,314.0,1.0,1.0
12,878,500.0,8.0,17,0.0,100.0,10.0,80.0,1.0,31.847,1.0,738.0,-98.199,12.812,314.0,314.0,1.0,1.0
12,878,500.0,8.0,20,0.0,100.0,6.0,80.0,1.0,35.558,1.0,672.464,-95.864,15.146,281.232,281.232,1.0,1.0
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1.0,738.0,-95.18,15.83,314.0,314.0,1.0,1.0
12,878,500.0,8.0,20,0.0,100.0,20.0,80.0,1.0,25.258,1.0,901.84,-95.233,15.778,395.92,395.92,1.0,1.0
12,878,500.0,8.0,20,0.0,100.0,30.0,80.0,1.0,20.928,1.0,1065.68,-94.634,16.376,477.84,477.84,1.0,1.0
12,878,500.0,8.0,20,0.0,100.0,40.0,80.0,1.0,17.865,1.0,1229.52,-92.061,18.95,559.76,559.76,1.0,1.0
12,878,500.0,8.0,20,0.0,100.0,50.0,80.0,1.0,15.584,1.0,1393.36,-95.679,15.331,641.68,641.68,1.0,1.0
