SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,ATT
6,878,500.0,8.0,20,0.0,10.0,10.0,45.0,1.0,14285.714,1.0,65.9,-67.095,10.25,0.7,1.0
7,878,500.0,8.0,20,0.0,10.0,10.0,45.0,1.0,7142.857,1.0,38.3,-67.519,9.75,1.4,1.0
8,878,500.0,8.0,20,0.0,10.0,10.0,45.0,1.0,4166.667,1.0,73.3,-70.663,9.75,2.4,1.0
9,878,500.0,8.0,20,0.0,10.0,10.0,45.0,1.0,2083.333,1.0,125.4,-69.629,8.25,4.8,1.0
10,878,500.0,8.0,20,0.0,10.0,10.0,45.0,1.0,1052.632,1.0,229.4,-65.956,8.0,9.5,1.0
11,878,500.0,8.0,20,0.0,10.0,10.0,45.0,1.0,636.943,1.0,422.5,-71.224,9.0,15.7,1.0
12,878,125.0,8.0,20,0.0,10.0,10.0,45.0,1.0,79.618,1.0,840.7,-72.255,7.75,125.6,1.0
12,878,250.0,8.0,20,0.0,10.0,10.0,45.0,1.0,159.236,1.0,840.7,-64.011,9.25,62.8,1.0
12,878,500.0,5.0,20,0.0,10.0,10.0,45.0,1.0,509.554,1.0,525.44,-86.132,7.5,19.625,1.0
12,878,500.0,6.0,20,0.0,10.0,10.0,45.0,1.0,424.628,1.0,630.53,-59.838,10.75,23.55,1.0
12,878,500.0,7.0,20,0.0,10.0,10.0,45.0,1.0,363.967,1.0,735.61,-58.762,11.75,27.475,1.0
12,878,500.0,8.0,14,0.0,10.0,10.0,45.0,1.0,318.471,1.0,840.7,-84.701,9.75,31.4,1.0
12,878,500.0,8.0,15,0.0,10.0,10.0,45.0,1.0,318.471,1.0,840.7,-73.923,8.75,31.4,1.0
12,878,500.0,8.0,16,0.0,10.0,10.0,45.0,1.0,318.471,1.0,840.7,-68.784,10.25,31.4,1.0
12,878,500.0,8.0,17,0.0,10.0,10.0,45.0,1.0,318.471,1.0,840.7,-70.305,8.0,31.4,1.0
12,878,500.0,8.0,20,0.0,10.0,6.0,45.0,1.0,355.578,1.0,840.7,-64.434,8.0,28.123,1.0
12,878,500.0,8.0,20,0.0,10.0,10.0,45.0,1.0,318.471,1.0,840.7,-60.172,9.0,31.4,1.0
12,878,500.0,8.0,20,0.0,10.0,20.0,45.0,1.0,252.576,1.0,840.7,-67.035,9.25,39.592,1.0
12,878,500.0,8.0,20,0.0,10.0,30.0,45.0,1.0,209.275,1.0,840.7,-64.016,10.0,47.784,1.0
12,878,500.0,8.0,20,0.0,10.0,40.0,45.0,1.0,178.648,1.0,840.7,-66.175,8.75,55.976,1.0
12,878,500.0,8.0,20,0.0,10.0,50.0,45.0,1.0,155.841,1.0,840.7,-64.77,8.25,64.168,1.0
