SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,1019.072,-111.85,-0.673,314.0,379.536,1,10.02
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,1019.072,-104.99,0.94,314.0,379.536,1,10.02
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,1019.072,-109.64,-0.154,314.0,379.536,1,10.02
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,1019.072,-108.89,0.023,314.0,379.536,1,10.02
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,1019.072,-105.25,0.879,314.0,379.536,1,10.02
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,477.536,-110.9,-0.031,157.0,189.768,1,5.01
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,477.536,-106.68,0.961,157.0,189.768,1,5.01
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,477.536,-106.34,1.041,157.0,189.768,1,5.01
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,477.536,-106.49,1.006,157.0,189.768,1,5.01
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,477.536,-112.49,-0.405,157.0,189.768,1,5.01
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,300.768,-108.06,1.78,95.0,111.384,1,2.941
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,300.768,-109.5,1.442,95.0,111.384,1,2.941
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,300.768,-105.37,2.413,95.0,111.384,1,2.941
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,300.768,-108.87,1.59,95.0,111.384,1,2.941
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,300.768,-111.05,1.077,95.0,111.384,1,2.941
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,181.384,-104.13,2.799,48.0,56.192,1,1.483
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,181.384,-110.06,1.405,48.0,56.192,1,1.483
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,181.384,-106.69,2.197,48.0,56.192,1,1.483
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,181.384,-104.39,2.738,48.0,56.192,1,1.483
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,181.384,-109.83,1.459,48.0,56.192,1,1.483
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,120.192,-104.14,2.438,24.0,28.096,1,0.742
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,120.192,-105.16,2.198,24.0,28.096,1,0.742
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,120.192,-107.25,1.707,24.0,28.096,1,0.742
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,120.192,-109.87,1.091,24.0,28.096,1,0.742
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,120.192,-111.31,0.752,24.0,28.096,1,0.742
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,94.096,-107.48,0.342,14.0,16.048,1,0.424
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,94.096,-108.93,0.001,14.0,16.048,1,0.424
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,94.096,-103.01,1.393,14.0,16.048,1,0.424
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,94.096,-108.16,0.182,14.0,16.048,1,0.424
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,94.096,-113.0,-0.956,14.0,16.048,1,0.424
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1,138.6,-108.92,-2.253,7.0,38.8,1,1.024
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1,138.6,-110.24,-2.564,7.0,38.8,1,1.024
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1,138.6,-109.3,-2.343,7.0,38.8,1,1.024
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1,138.6,-104.85,-1.296,7.0,38.8,1,1.024
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1,138.6,-110.67,-2.665,7.0,38.8,1,1.024
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,15.924,1,1998.144,-105.94,3.35,628.0,759.072,1,20.04
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,15.924,1,1998.144,-108.02,2.861,628.0,759.072,1,20.04
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,15.924,1,1998.144,-110.37,2.309,628.0,759.072,1,20.04
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,15.924,1,1998.144,-105.93,3.353,628.0,759.072,1,20.04
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,15.924,1,1998.144,-115.39,1.128,628.0,759.072,1,20.04
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.962,1,3936.288,-110.01,5.027,1256.0,1518.144,1,40.079
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.962,1,3936.288,-108.18,5.458,1256.0,1518.144,1,40.079
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.962,1,3936.288,-105.17,6.165,1256.0,1518.144,1,40.079
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.962,1,3936.288,-111.86,4.592,1256.0,1518.144,1,40.079
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.962,1,3936.288,-111.16,4.757,1256.0,1518.144,1,40.079
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,36.397,1,940.572,-109.23,-0.057,274.75,340.286,1,7.861
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,36.397,1,940.572,-103.67,1.25,274.75,340.286,1,7.861
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,36.397,1,940.572,-107.72,0.298,274.75,340.286,1,7.861
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,36.397,1,940.572,-104.72,1.003,274.75,340.286,1,7.861
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,36.397,1,940.572,-109.17,-0.043,274.75,340.286,1,7.861
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,42.463,1,862.072,-106.02,0.698,235.5,301.036,1,5.961
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,42.463,1,862.072,-109.04,-0.012,235.5,301.036,1,5.961
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,42.463,1,862.072,-107.08,0.448,235.5,301.036,1,5.961
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,42.463,1,862.072,-104.56,1.041,235.5,301.036,1,5.961
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,42.463,1,862.072,-110.1,-0.262,235.5,301.036,1,5.961
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,50.955,1,783.572,-111.33,-0.551,196.25,261.786,1,4.319
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,50.955,1,783.572,-104.12,1.144,196.25,261.786,1,4.319
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,50.955,1,783.572,-111.63,-0.621,196.25,261.786,1,4.319
