SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
6,878,500.0,8.0,20,1.0,100.0,10.0,80.0,1.0,1428.571,1.0,138.6,-79.434,4.68,7.0,38.8,1.0,1.024
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1.0,94.096,-76.316,7.67,14.0,16.048,1.0,0.424
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1.0,120.192,-78.078,8.566,24.0,28.096,1.0,0.742
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1.0,181.384,-80.064,8.458,48.0,56.192,1.0,1.483
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1.0,300.768,-79.25,8.555,95.0,111.384,1.0,2.941
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1.0,477.536,-77.398,7.847,157.0,189.768,1.0,5.01
12,878,125.0,8.0,20,0.0,100.0,10.0,80.0,1.0,7.962,1.0,3936.288,-79.948,12.096,1256.0,1518.144,1.0,40.079
12,878,250.0,8.0,20,0.0,100.0,10.0,80.0,1.0,15.924,1.0,1998.144,-78.894,9.71,628.0,759.072,1.0,20.04
12,878,500.0,5.0,20,0.0,100.0,10.0,80.0,1.0,50.955,1.0,783.572,-79.036,7.043,196.25,261.786,1.0,4.319
12,878,500.0,6.0,20,0.0,100.0,10.0,80.0,1.0,42.463,1.0,862.072,-78.174,7.245,235.5,301.036,1.0,5.961
12,878,500.0,7.0,20,0.0,100.0,10.0,80.0,1.0,36.397,1.0,940.572,-75.538,7.865,274.75,340.286,1.0,7.861
12,878,500.0,8.0,14,0.0,100.0,10.0,80.0,1.0,31.847,1.0,1019.072,-81.8,6.393,314.0,379.536,1.0,10.02
12,878,500.0,8.0,15,0.0,100.0,10.0,80.0,1.0,31.847,1.0,1019.072,-84.872,5.67,314.0,379.536,1.0,10.02
12,878,500.0,8.0,16,0.0,100.0,10.0,80.0,1.0,31.847,1.0,1019.072,-81.38,6.491,314.0,379.536,1.0,10.02
12,878,500.0,8.0,17,0.0,100.0,10.0,80.0,1.0,31.847,1.0,1019.072,-78.024,7.281,314.0,379.536,1.0,10.02
12,878,500.0,8.0,20,0.0,100.0,6.0,80.0,1.0,35.558,1.0,953.536,-79.51,6.931,281.232,346.768,1.0,9.155
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1.0,1019.072,-78.67,7.129,314.0,379.536,1.0,10.02
12,878,500.0,8.0,20,0.0,100.0,20.0,80.0,1.0,25.258,1.0,1182.912,-77.924,7.304,395.92,461.456,1.0,12.182
12,878,500.0,8.0,20,0.0,100.0,30.0,80.0,1.0,20.928,1.0,1346.752,-77.996,7.287,477.84,543.376,1.0,14.345
12,878,500.0,8.0,20,0.0,100.0,40.0,80.0,1.0,17.865,1.0,1510.592,-78.608,7.143,559.76,625.296,1.0,16.508
12,878,500.0,8.0,20,0.0,100.0,50.0,80.0,1.0,15.584,1.0,1674.432,-76.24,7.7,641.68,707.216,1.0,18.671
