SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,BPS,CHC,DELAY,RSSI,SNR,TOA,RTOA,ATT,ETX
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,840.7,-131.175,3.5,314.0,379.536,1,1
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,840.7,-132.488,3.5,314.0,379.536,1,1
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,840.7,-130.897,3.5,314.0,379.536,1,1
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,840.7,-132.572,3.5,314.0,379.536,1,1
12,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,31.847,1,840.7,-129.7,3.5,314.0,379.536,1,1
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,422.5,-136.635,3.5,157.0,189.768,1,1
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,422.5,-132.284,3.5,157.0,189.768,1,1
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,422.5,-135.454,3.5,157.0,189.768,1,1
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,422.5,-147.956,3.5,157.0,189.768,1,1
11,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,63.694,1,422.5,-129.258,3.5,157.0,189.768,1,1
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,229.4,-130.581,3.5,95.0,111.384,1,1
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,229.4,-139.2,3.5,95.0,111.384,1,1
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,229.4,-128.453,3.5,95.0,111.384,1,1
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,229.4,-125.746,3.5,95.0,111.384,1,1
10,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,105.263,1,229.4,-130.384,3.5,95.0,111.384,1,1
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,125.4,-131.321,3.5,48.0,56.192,1,1
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,125.4,-133.848,3.5,48.0,56.192,1,1
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,125.4,-139.796,3.5,48.0,56.192,1,1
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,125.4,-123.937,3.5,48.0,56.192,1,1
9,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,208.333,1,125.4,-130.409,5.0,48.0,56.192,1,1
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,73.3,-133.583,3.5,24.0,28.096,1,1
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,73.3,-139.866,3.5,24.0,28.096,1,1
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,73.3,-130.189,3.5,24.0,28.096,1,1
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,73.3,-148.979,3.5,24.0,28.096,1,1
8,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,416.667,1,73.3,-131.837,3.5,24.0,28.096,1,1
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,38.3,-138.21,3.5,14.0,16.048,1,1
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,38.3,-131.282,3.5,14.0,16.048,1,1
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,38.3,-140.356,3.5,14.0,16.048,1,1
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,38.3,-132.542,4.5,14.0,16.048,1,1
7,878,500.0,8.0,20,0.0,100.0,10.0,80.0,1.0,714.286,1,38.3,-136.461,4.75,14.0,16.048,1,1
